ID	Q1	Q3	RT	DP	CE	Compound name	Classes	Identification	SMILES	InChI	Library ID	keggID	Molecular formula	Observed mass (Da)	Exact mass (Da)	Accurate mass error (ppm)	Ionization model	Precursor ions (Q1)	Product ions (Q3)	Q4	Q5	Q6	Q7	Q8
mr4045	282.1	136.1	4.4	40	10	2'-O-methyladenosine	Nucleic acid derivative	standard	COC1C(O)C(CO)OC1n1cnc2c(N)ncnc21	InChI=1S/C11H15N5O4/c1-19-8-7(18)5(2-17)20-11(8)16-4-15-6-9(12)13-3-14-10(6)16/h3-5,7-8,11,17-18H,2H2,1H3,(H2,12,13,14)	MS000000670		C11H15N5O4	281.272	281.1124	69.9	H+	282.1188	136.1	103.1	66.2	120		
p0669	229.1	167.1	5.2	40	30	chlamydospordiol	Other	putative	COc1cc(=O)oc(C(C)C(C)O)c1CO	InChI=1S/C11H16O5/c1-6(7(2)13)11-8(5-12)9(15-3)4-10(14)16-11/h4,6-7,12-13H,5H2,1-3H3	MS000015615		C11H16O5	228.244	228.0998	30.9								
n00120-1	331.1	169	6.3	10	30	3-Methoxy-4-hydroxybenzoic acid O-hexoside	Polyphenol	putative	COc1cc(C(=O)OC2OC(OC)C(O)C(O)C2O)ccc1O	InChI=1S/C14H18O9/c1-20-8-5-6(3-4-7(8)15)12(19)22-14-11(18)9(16)10(17)13(21-2)23-14/h3-5,9-11,13-18H,1-2H3			C14H18O9	330.289	330.0951	7.1	H+	331.1	169	111	125.1	65	151	93
mr1233	689.2	331.1	8	20	50	Tricin 4'-O-(β-guaiacylglyceryl) ether 5-O-hexoside	Flavonoid	putative	COc1cc(C(O)C(CO)Oc2c(OC)cc(-c3cc(=O)c4c(O)cc(OC5OC(CO)C(O)C(O)C5O)cc4o3)cc2OC)ccc1O	InChI=1S/C33H36O16/c1-43-21-6-14(4-5-17(21)36)28(39)25(12-34)48-32-23(44-2)7-15(8-24(32)45-3)20-11-19(38)27-18(37)9-16(10-22(27)47-20)46-33-31(42)30(41)29(40)26(13-35)49-33/h4-11,25-26,28-31,33-37,39-42H,12-13H2,1-3H3	MS000127560		C33H36O16	688.635	688.2003	11	H+	689.208	331.1	671.3	527.2	314.9	153.1	
mr1232	689.2	331	8.2	40	20	Tricin 4'-O-(β-guaiacylglyceryl) ether 7-O-hexoside derivative	Flavonoid	putative	COc1cc(C(O)C(CO)Oc2c(OC)cc(-c3cc(=O)c4c(OC5OC(CO)C(O)C(O)C5O)cc(O)cc4o3)cc2OC)ccc1O	InChI=1S/C33H36O16/c1-43-20-6-14(4-5-17(20)37)28(39)25(12-34)47-32-23(44-2)7-15(8-24(32)45-3)19-11-18(38)27-21(46-19)9-16(36)10-22(27)48-33-31(42)30(41)29(40)26(13-35)49-33/h4-11,25-26,28-31,33-37,39-42H,12-13H2,1-3H3			C33H36O16	688.635	688.2003	11	H+	689.2082	331	527.1	375.2	242.2	181.2	
mr1015	337.2	207.2	4.8	50	40	N-Sinapoylagmatine	Phenolamide	standard	COc1cc(C=CC(=O)NC(N)=NCCCCN)cc(OC)c1O	InChI=1S/C16H24N4O4/c1-23-12-9-11(10-13(24-2)15(12)22)5-6-14(21)20-16(18)19-8-4-3-7-17/h5-6,9-10,22H,3-4,7-8,17H2,1-2H3,(H3,18,19,20,21)			C16H24N4O4	336.392	336.1798	38.5	H+	337.1876	207.2	175.2	147.2	119		
mr712	353.2	177.2	7.9	60	40	N-Feruloylserotonin	Phenolamide	putative	COc1cc(C=CC(=O)NCCc2c[nH]c3ccc(O)cc23)ccc1O	InChI=1S/C20H20N2O4/c1-26-19-10-13(2-6-18(19)24)3-7-20(25)21-9-8-14-12-22-17-5-4-15(23)11-16(14)17/h2-7,10-12,22-24H,8-9H2,1H3,(H,21,25)	MS000016513		C20H20N2O4	352.39	352.1423	143.3	H+	353.1509	177.2	317.2	145.2	117.1	89.2	
n15278	309	207	4.6	80	20	N-Sinapoylcadaverine	Phenolamide	putative	COc1cc(C=CC(=O)NCCCCCN)cc(OC)c1O	InChI=1S/C16H24N2O4/c1-21-13-10-12(11-14(22-2)16(13)20)6-7-15(19)18-9-5-3-4-8-17/h6-7,10-11,20H,3-5,8-9,17H2,1-2H3,(H,18,19)			C16H24N2O4	308.378	308.1736	586.8	H+	309	207	177	147	89		
mr1025	704.1	177.2	8.2	40	40	N', N'', N'''-DiFeruloyl,Sinapoylspermidine	Phenolamide	putative	COc1cc(C=CC(=O)NCCCCN(CCCNC(=O)C=Cc2ccc(O)c(OC)c2)C(=O)C=Cc2cc(OC)c(O)c(OC)c2)ccc1O	InChI=1S/C38H45N3O10/c1-48-31-22-26(8-13-29(31)42)10-15-35(44)39-18-5-6-20-41(37(46)17-12-28-24-33(50-3)38(47)34(25-28)51-4)21-7-19-40-36(45)16-11-27-9-14-30(43)32(23-27)49-2/h8-17,22-25,42-43,47H,5-7,18-21H2,1-4H3,(H,39,44)(H,40,45)			C38H45N3O10	703.789	703.3105	309.6	H+	704.1	177.2	145.1	109			
S13-0006	441.2	177.1	7.8	80	30	N', N''-DiFeruloylputrescine	Phenolamide	putative	COc1cc(C=CC(=O)NCCCCNC(=O)C=Cc2ccc(O)c(OC)c2)ccc1O	InChI=1S/C24H28N2O6/c1-31-21-15-17(5-9-19(21)27)7-11-23(29)25-13-3-4-14-26-24(30)12-8-18-6-10-20(28)22(16-18)32-2/h5-12,15-16,27-28H,3-4,13-14H2,1-2H3,(H,25,29)(H,26,30)	MS000014999		C24H28N2O6	440.496	440.1947	4.4	H+	441.2017	177.1	145	149.1	117	89	291.1
mr134	427.2	177.1	1.7	50	40	Feruloyl putrescine O-hexoside	Phenolamide	putative	COc1cc(C=CC(=O)NCCCCNC2OC(CO)C(O)C(O)C2O)ccc1O	InChI=1S/C20H30N2O8/c1-29-14-10-12(4-6-13(14)24)5-7-16(25)21-8-2-3-9-22-20-19(28)18(27)17(26)15(11-23)30-20/h4-7,10,15,17-20,22-24,26-28H,2-3,8-9,11H2,1H3,(H,21,25)			C20H30N2O8	426.466	426.2002	17.5	H+	427.2	177.1	265.2	145.1	117.1		
mr1020	322.2	177.2	4.2	80	40	N-Feruloylspermidine	Phenolamide	putative	COc1cc(C=CC(=O)NCCCCNCCCN)ccc1O	InChI=1S/C17H27N3O3/c1-23-16-13-14(5-7-15(16)21)6-8-17(22)20-12-3-2-10-19-11-4-9-18/h5-8,13,19,21H,2-4,9-12,18H2,1H3,(H,20,22)			C17H27N3O3	321.421	321.2052	38.8	H+	322.2115	177.2	145	117	72		
mr1023	498.3	177.2	5.8	30	50	N', N''-DiFeruloylspermidine	Phenolamide	putative	COc1cc(C=CC(=O)NCCCCNCCCNC(=O)C=Cc2ccc(O)c(OC)c2)ccc1O	InChI=1S/C27H35N3O6/c1-35-24-18-20(6-10-22(24)31)8-12-26(33)29-16-4-3-14-28-15-5-17-30-27(34)13-9-21-7-11-23(32)25(19-21)36-2/h6-13,18-19,28,31-32H,3-5,14-17H2,1-2H3,(H,29,33)(H,30,34)	MS000220321		C27H35N3O6	497.592	497.2526	80.7	H+	498.2608	177.2	323	234	145	117	
n05049	239.1	147.1	6.5	70	20	(E)-3,4,5-Trimethoxycinnamic acid	Polyphenol	putative	COc1cc(C=CC(=O)O)cc(OC)c1OC	InChI=1S/C12H14O5/c1-15-9-6-8(4-5-11(13)14)7-10(16-2)12(9)17-3/h4-7H,1-3H3,(H,13,14)	MS000009509		C12H14O5	238.239	238.0841	36.3	H+	239.0916	147.1	119	91.1	177.1	99	145
p2600	415.2	177.1	9.4	40	30	1-O-p-coumaroyl-2-O-feruloylglycerol	Polyphenol	putative	COc1cc(C=CC(=O)OC(CO)COC(=O)C=Cc2ccc(O)cc2)ccc1O	InChI=1S/C22H22O8/c1-28-20-12-16(4-9-19(20)25)6-11-22(27)30-18(13-23)14-29-21(26)10-5-15-2-7-17(24)8-3-15/h2-12,18,23-25H,13-14H2,1H3	MS000222464		C22H22O8	414.41	414.1315	147.9								
mr1027	399	207.2	6.2	80	20	Sinapoyl quinic acid	Polyphenol	putative	COc1cc(C=CC(=O)OC2C(O)CC(O)(C(=O)O)CC2O)cc(OC)c1O	InChI=1S/C18H22O10/c1-26-12-5-9(6-13(27-2)15(12)22)3-4-14(21)28-16-10(19)7-18(25,17(23)24)8-11(16)20/h3-6,10-11,16,19-20,22,25H,7-8H2,1-2H3,(H,23,24)	MS000251339		C18H22O10	398.364	398.1213	322.9		399	207.2	177.3	147.2	119.1		
p2133	535.1	207.1	5.8	40	30	bergenin 11-O-(E)-sinapate	Polyphenol	putative	COc1cc(C=CC(=O)OCC2OC3c4c(cc(O)c(OC)c4O)C(=O)OC3C(O)C2O)cc(OC)c1O	InChI=1S/C25H26O13/c1-33-13-6-10(7-14(34-2)18(13)28)4-5-16(27)36-9-15-19(29)21(31)24-23(37-15)17-11(25(32)38-24)8-12(26)22(35-3)20(17)30/h4-8,15,19,21,23-24,26,28-31H,9H2,1-3H3	MS000156589		C25H26O13	534.47	534.1373	83.4								
mr1275	493.1	331.1	7.3	50	10	Tricin 7-O-hexoside	Flavonoid	standard	COc1cc(-c2cc(=O)c3c(O)cc(OC4OC(CO)C(O)C(O)C4O)cc3o2)cc(OC)c1O	InChI=1S/C23H24O12/c1-31-15-3-9(4-16(32-2)19(15)27)13-7-12(26)18-11(25)5-10(6-14(18)34-13)33-23-22(30)21(29)20(28)17(8-24)35-23/h3-7,17,20-25,27-30H,8H2,1-2H3	MS000010544		C23H24O12	492.433	492.1268	69.2	H+	493.1339	331.1	315	270.2			
mr1204	463.1	301.1	7.3	60	30	Chrysoeriol 7-O-hexoside	Flavonoid	putative	COc1cc(-c2cc(=O)c3c(O)cc(OC4OC(CO)C(O)C(O)C4O)cc3o2)ccc1O	InChI=1S/C22H22O11/c1-30-15-4-9(2-3-11(15)24)14-7-13(26)18-12(25)5-10(6-16(18)32-14)31-22-21(29)20(28)19(27)17(8-23)33-22/h2-7,17,19-25,27-29H,8H2,1H3	MS000010553		C22H22O11	462.407	462.1162	50.7	H+	463.1234	301.1	286.3	258.4			
mr1089	549.1	301.1	8.2	50	30	Chrysoeriol 7-O-malonylhexoside	Flavonoid	putative	COc1cc(-c2cc(=O)c3c(O)cc(OC4OC(COC(=O)CC(=O)O)C(O)C(O)C4O)cc3o2)ccc1O	InChI=1S/C25H24O14/c1-35-16-4-10(2-3-12(16)26)15-7-14(28)21-13(27)5-11(6-17(21)38-15)37-25-24(34)23(33)22(32)18(39-25)9-36-20(31)8-19(29)30/h2-7,18,22-27,32-34H,8-9H2,1H3,(H,29,30)	MS000015161		C25H24O14	548.453	548.1166	43.5	H+	549.1234	301.1	347.1	286.1	177.1		
mr1102	639.2	330.6	6.9	70	30	Tricin 7-O-rutinoside	Flavonoid	putative	COc1cc(-c2cc(=O)c3c(O)cc(OC4OC(COC5OC(C)C(O)C(O)C5O)C(O)C(O)C4O)cc3o2)cc(OC)c1O	InChI=1S/C29H34O16/c1-10-21(32)24(35)26(37)28(42-10)41-9-19-23(34)25(36)27(38)29(45-19)43-12-6-13(30)20-14(31)8-15(44-16(20)7-12)11-4-17(39-2)22(33)18(5-11)40-3/h4-8,10,19,21,23-30,32-38H,9H2,1-3H3	MS000217978		C29H34O16	638.575	638.1847	12.6	H+	639.191	330.6	493.2	315.4	287.4	270.4	
mr1896	699.2	331.1	8.1	60	40	Tricin O-sinapoylhexoside	Flavonoid	putative	COc1cc(-c2cc(=O)c3c(OC(=O)C=Cc4cc(OC)c(OC5OC(CO)C(O)C(O)C5O)c(OC)c4)cc(O)cc3o2)cc(OC)c1O	InChI=1S/C34H34O16/c1-43-22-9-16(10-23(44-2)29(22)39)19-13-18(37)28-20(47-19)11-17(36)12-21(28)48-27(38)6-5-15-7-24(45-3)33(25(8-15)46-4)50-34-32(42)31(41)30(40)26(14-35)49-34/h5-13,26,30-32,34-36,39-42H,14H2,1-4H3	MS000251351		C34H34O16	698.63	698.1847	11.5	H+	699.1936	331.1	463	207.1	175.1		
mr1083	493.1	331.1	6.7	50	10	Tricin 5-O-hexoside	Flavonoid	putative	COc1cc(-c2cc(=O)c3c(OC4OC(CO)C(O)C(O)C4O)cc(O)cc3o2)cc(OC)c1O	InChI=1S/C23H24O12/c1-31-15-3-9(4-16(32-2)19(15)27)12-7-11(26)18-13(33-12)5-10(25)6-14(18)34-23-22(30)21(29)20(28)17(8-24)35-23/h3-7,17,20-25,27-30H,8H2,1-2H3	MS000010567		C23H24O12	492.433	492.1268	69.2	H+	493.1339	331.1	315	270.2			
mr1103	655.2	330.9	5.6	30	40	Tricin 5-O-hexosyl-O-hexoside derivative	Flavonoid	putative	COc1cc(-c2cc(=O)c3c(OC4OC(CO)C(O)C(O)C4O)cc(O)cc3o2)cc(OC)c1OC1OC(CO)C(O)C(O)C1O	InChI=1S/C29H34O17/c1-40-16-3-10(4-17(41-2)27(16)46-29-26(39)24(37)22(35)19(9-31)45-29)13-7-12(33)20-14(42-13)5-11(32)6-15(20)43-28-25(38)23(36)21(34)18(8-30)44-28/h3-7,18-19,21-26,28-32,34-39H,8-9H2,1-2H3			C29H34O17	654.574	654.1796	20.1	H+	655.1879	330.9	475	373.1	315.2	287.1	
mr1076	463.1	301.1	6.8	20	20	Chrysoeriol 5-O-hexoside	Flavonoid	putative	COc1cc(-c2cc(=O)c3c(OC4OC(CO)C(O)C(O)C4O)cc(O)cc3o2)ccc1O	InChI=1S/C22H22O11/c1-30-14-4-9(2-3-11(14)25)13-7-12(26)18-15(31-13)5-10(24)6-16(18)32-22-21(29)20(28)19(27)17(8-23)33-22/h2-7,17,19-25,27-29H,8H2,1H3	MS000111714		C22H22O11	462.407	462.1162	50.7	H+	463.1233	301.1	286.3	258.4			
mr1228	655.2	331.1	6.6	30	50	Tricin 7-O-hexosyl-O-hexoside	Flavonoid	putative	COc1cc(-c2cc(=O)c3c(O)cc(OC4OC(COC5OC(CO)C(O)C(O)C5O)C(O)C(O)C4O)cc3o2)cc(OC)c1O	InChI=1S/C29H34O17/c1-40-16-3-10(4-17(41-2)21(16)33)14-7-13(32)20-12(31)5-11(6-15(20)44-14)43-29-27(39)25(37)23(35)19(46-29)9-42-28-26(38)24(36)22(34)18(8-30)45-28/h3-7,18-19,22-31,33-39H,8-9H2,1-2H3	MS000078091		C29H34O17	654.574	654.1796	20.1	H+	655.1862	331.1	493.1	201.2			
mr075	653.3	344.9	7.9	60	50	3’,4’,5’-Tricetin O-rutinoside	Flavonoid	putative	COc1cc(-c2cc(=O)c3c(OC4OC(COC5OC(C)C(O)C(O)C5O)C(O)C(O)C4O)cc(O)cc3o2)cc(OC)c1OC	InChI=1S/C30H36O16/c1-11-22(33)24(35)26(37)29(43-11)42-10-20-23(34)25(36)27(38)30(46-20)45-17-8-13(31)7-16-21(17)14(32)9-15(44-16)12-5-18(39-2)28(41-4)19(6-12)40-3/h5-9,11,20,22-27,29-31,33-38H,10H2,1-4H3			C30H36O16	652.602	652.2003	141.8	H+	653.3	344.9	330.1	507	311.9		
mr1227	655.2	331	7	10	30	Tricin 5-O-hexosyl-O-hexoside	Flavonoid	putative	COc1cc(-c2cc(=O)c3c(OC4OC(COC5OC(CO)C(O)C(O)C5O)C(O)C(O)C4O)cc(O)cc3o2)cc(OC)c1O	InChI=1S/C29H34O17/c1-40-16-3-10(4-17(41-2)21(16)33)13-7-12(32)20-14(43-13)5-11(31)6-15(20)44-29-27(39)25(37)23(35)19(46-29)9-42-28-26(38)24(36)22(34)18(8-30)45-28/h3-7,18-19,22-31,33-39H,8-9H2,1-2H3	MS000251354		C29H34O17	654.574	654.1796	20.1	H+	655.1869	331	373.1	347	315.2	270.2	
mr1308	600.3	249.1	6.6	40	20	Manglieside E	Other	putative	COc1cc(C2OCC(Cc3cc(OC)c(OC4OC(CO)C(O)C(O)C4O)c(OC)c3)C2CO)cc(OC)c1O	InChI=1S/C28H38O13/c1-35-17-8-14(9-18(36-2)22(17)31)26-16(10-29)15(12-39-26)5-13-6-19(37-3)27(20(7-13)38-4)41-28-25(34)24(33)23(32)21(11-30)40-28/h6-9,15-16,21,23-26,28-34H,5,10-12H2,1-4H3	MS000016488		C28H38O13	582.599	582.2312	29303.7	NH4+	600.2652	249.1	267.1	180.1			
mr1085	507.2	345.1	8.5	50	40	3’,4’,5’-Tricetin 5-O-hexoside	Flavonoid	putative	COc1cc(-c2cc(=O)c3c(OC4OC(CO)C(O)C(O)C4O)cc(O)cc3o2)cc(OC)c1OC	InChI=1S/C24H26O12/c1-31-16-4-10(5-17(32-2)23(16)33-3)13-8-12(27)19-14(34-13)6-11(26)7-15(19)35-24-22(30)21(29)20(28)18(9-25)36-24/h4-8,18,20-22,24-26,28-30H,9H2,1-3H3	MS000251361		C24H26O12	506.46	506.1424	99.5	H+	507.1501	345.1	329	315.1	284.1	255.1	
mr504	497.1	331.1	6.6	50	30	Tricin 4'-O-(syringyl alcohol)ether derivative	Flavonoid	putative	COc1cc(COc2c(OC)cc(-c3cc(=O)c4c(O)cc(O)cc4o3)cc2OC)cc(OC)c1O	InChI=1S/C26H24O10/c1-31-20-5-13(6-21(32-2)25(20)30)12-35-26-22(33-3)7-14(8-23(26)34-4)18-11-17(29)24-16(28)9-15(27)10-19(24)36-18/h5-11,27-28,30H,12H2,1-4H3	MS000251359		C26H24O10	496.468	496.1369	89	H+	497.1442	331	315.1	270	320.8		
mr1205	497.1	331	9.3	30	30	Tricin 4'-O-(syringyl alcohol)ether	Flavonoid	putative	COc1cc(COc2c(OC)cc(-c3cc(=O)c4c(O)cc(O)cc4o3)cc2OC)cc(OC)c1O	InChI=1S/C26H24O10/c1-31-20-5-13(6-21(32-2)25(20)30)12-35-26-22(33-3)7-14(8-23(26)34-4)18-11-17(29)24-16(28)9-15(27)10-19(24)36-18/h5-11,27-28,30H,12H2,1-4H3	MS000251359		C26H24O10	496.468	496.1369	89	H+	497.1442	331	315.1	270	320.8		
mr2047	183.1	123	11.6	10	30	3,5-Dimethoxybenzoic acid	Polyphenol	putative	COc1cc(OC)cc(C(=O)O)c1	InChI=1S/C9H10O4/c1-12-7-3-6(9(10)11)4-8(5-7)13-2/h3-5H,1-2H3,(H,10,11)	MS000002673		C9H10O4	182.175	182.0579	191.4	H+	183.065	123	121	135	95		
S18-1434	346.1	121	5.9	20	30	N1-(2-Amino-1-{[(4,6-dimethoxypyrimidin-2-yl)amino]methyl}-2-oxoethyl)benzamide	Other	putative	COc1cc(OC)nc(NCC(NC(=O)c2ccccc2)C(N)=O)n1	InChI=1S/C16H19N5O4/c1-24-12-8-13(25-2)21-16(20-12)18-9-11(14(17)22)19-15(23)10-6-4-3-5-7-10/h3-8,11H,9H2,1-2H3,(H2,17,22)(H,19,23)(H,18,20,21)			C16H19N5O4	345.359	345.1437	147.6	H+	346.1494	121	329.1	145	85	167.1	163.1
p0538	477.2	315.1	9.1	40	30	Cirsimarin	Flavonoid	putative	COc1cc2oc(-c3ccc(OC4OC(CO)C(O)C(O)C4O)cc3)cc(=O)c2c(O)c1OC	InChI=1S/C23H24O11/c1-30-15-8-14-17(19(27)22(15)31-2)12(25)7-13(33-14)10-3-5-11(6-4-10)32-23-21(29)20(28)18(26)16(9-24)34-23/h3-8,16,18,20-21,23-24,26-29H,9H2,1-2H3	MS000012009		C23H24O11	476.434	476.1319	127.8								
mr1145	465.1	303	6.2	50	30	Hesperetin 5-O-glucoside	Flavonoid	putative	COc1ccc(C2CC(=O)c3c(cc(O)cc3OC3OC(CO)C(O)C(O)C3O)O2)cc1O	InChI=1S/C22H24O11/c1-30-13-3-2-9(4-11(13)25)14-7-12(26)18-15(31-14)5-10(24)6-16(18)32-22-21(29)20(28)19(27)17(8-23)33-22/h2-6,14,17,19-25,27-29H,7-8H2,1H3	MS000016391		C22H24O11	464.423	464.1319	84.4	H+	465.1028	303	115.1	81	153	137	
R11-1613	197.1	151	5.2	80	30	(3,4-Dimethoxyphenyl)acetic acid	Polyphenol	putative	COc1ccc(CC(=O)O)cc1OC	InChI=1S/C10H12O4/c1-13-8-4-3-7(6-10(11)12)5-9(8)14-2/h3-5H,6H2,1-2H3,(H,11,12)	MS000000909		C10H12O4	196.202	196.0736	97.7	H+	197.0809	151	105	125.1	156	179.1	123
R11-0143	160.1	115.1	4.7	80	60	6-Methoxyquinoline	Other	putative	COc1ccc2ncccc2c1	InChI=1S/C10H9NO/c1-12-9-4-5-10-8(7-9)3-2-6-11-10/h2-7H,1H3	MS000002011		C10H9NO	159.188	159.0684	153.1	H+	160.0755	115.1	117.1	90	145.1	66	63
p0438	345.2	136.1	4.2	40	30	Tyr-Tyr	Amino acid derivative	putative	NC(Cc1ccc(O)cc1)C(=O)NC(Cc1ccc(O)cc1)C(=O)O	InChI=1S/C18H20N2O5/c19-15(9-11-1-5-13(21)6-2-11)17(23)20-16(18(24)25)10-12-3-7-14(22)8-4-12/h1-8,15-16,21-22H,9-10,19H2,(H,20,23)(H,24,25)	MS000008436		C18H20N2O5	344.367	344.1372	161.4								
mr1974	334.1	188.2	5.9	70	10	Golotimod	Amino acid derivative	putative	NC(CCC(=O)NC(Cc1c[nH]c2ccccc12)C(=O)O)C(=O)O	InChI=1S/C16H19N3O5/c17-11(15(21)22)5-6-14(20)19-13(16(23)24)7-9-8-18-12-4-2-1-3-10(9)12/h1-4,8,11,13,18H,5-7,17H2,(H,19,20)(H,21,22)(H,23,24)	MS000016374		C16H19N3O5	333.344	333.1325	119.3	H+	334.1399	188.2	270.2	170.2	146.2	130.1	
mr1336	175.1	116.1	1	70	10	Arginine	Amino acid derivative	standard	NC(N)=NCCCC(N)C(=O)O	InChI=1S/C6H14N4O2/c7-4(5(11)12)2-1-3-10-6(8)9/h4H,1-3,7H2,(H,11,12)(H4,8,9,10)			C6H14N4O2	174.204	174.1117	108.8	H+	175.119	116.1	157.2	130	65.4		
mr1010	277.2	147.2	4.5	30	60	N-p-Coumaroylagmatine	Phenolamide	standard	NC(N)=NCCCCNC(=O)C=Cc1ccc(O)cc1	InChI=1S/C14H20N4O2/c15-14(16)18-10-2-1-9-17-13(20)8-5-11-3-6-12(19)7-4-11/h3-8,19H,1-2,9-10H2,(H,17,20)(H4,15,16,18)			C14H20N4O2	276.34	276.1586	123.7	H+	277.166	147.2	119	91			
mr1373	284.1	152.1	4.1	10	60	Crotonoside	Nucleic acid derivative	putative	Nc1[nH]c(=O)nc2c1ncn2C1OC(CO)C(O)C1O	InChI=1S/C10H13N5O5/c11-7-4-8(14-10(19)13-7)15(2-12-4)9-6(18)5(17)3(1-16)20-9/h2-3,5-6,9,16-18H,1H2,(H3,11,13,14,19)			C10H13N5O5	283.244	283.0917	3.7	H+	284.0989	152.1	238.2	181.1	135.1	110.1	
mr1445	244.1	112.1	1.4	80	50	Cytidine	Nucleic acid derivative	standard	Nc1ccn(C2OC(CO)C(O)C2O)c(=O)n1	InChI=1S/C9H13N3O5/c10-5-1-2-12(9(16)11-5)8-7(15)6(14)4(3-13)17-8/h1-2,4,6-8,13-15H,3H2,(H2,10,11,16)			C9H13N3O5	243.219	243.0855	29.8	H+	244.0937	112.1	95	69	100		
mr1245	284.1	152.2	4.1	10	60	Guanosine	Nucleic acid derivative	standard	Nc1nc2c(ncn2C2OC(CO)C(O)C2O)c(=O)[nH]1	InChI=1S/C10H13N5O5/c11-10-13-7-4(8(19)14-10)12-2-15(7)9-6(18)5(17)3(1-16)20-9/h2-3,5-6,9,16-18H,1H2,(H3,11,13,14,19)			C10H13N5O5	283.244	283.0917	3.7	H+	284.0984	152.2	135.1	110.1	82.2		
mr1399	400.2	136.1	4.2	30	10	Adenosine O-ribose	Nucleic acid derivative	putative	Nc1ncnc2c1ncn2C1OC(COC2OCC(O)C(O)C2O)C(O)C1O	InChI=1S/C15H21N5O8/c16-12-7-13(18-3-17-12)20(4-19-7)14-10(24)9(23)6(28-14)2-27-15-11(25)8(22)5(21)1-26-15/h3-6,8-11,14-15,21-25H,1-2H2,(H2,16,17,18)			C15H21N5O8	399.36	399.139	134.7	H+	400.2	136.1	268.2	175.2	121.1		
mr1191	251.2	147.2	4.2	20	60	p-Coumaroyl-2-hydroxyputrescine	Phenolamide	putative	NCCCCNC(=O)C=Cc1ccc(O)cc1O	InChI=1S/C13H18N2O3/c14-7-1-2-8-15-13(18)6-4-10-3-5-11(16)9-12(10)17/h3-6,9,16-17H,1-2,7-8,14H2,(H,15,18)			C13H18N2O3	250.298	250.1317	244.1	H+	251.2	147.2	191.2	175.2	119.1	91.1	
mr1022	438.2	147.2	5.6	70	40	N', N''-Di-p-Coumaroylspermidine	Phenolamide	putative	NCCCNCCCCN(C(=O)C=Cc1ccc(O)cc1)C(=O)C=Cc1ccc(O)cc1	InChI=1S/C25H31N3O4/c26-16-3-18-27-17-1-2-19-28(24(31)14-8-20-4-10-22(29)11-5-20)25(32)15-9-21-6-12-23(30)13-7-21/h4-15,27,29-30H,1-3,16-19,26H2			C25H31N3O4	437.54	437.2315	88.6	H+	438.2391	147.2	292	204.2	119.1		
S13-0691	470.2	163	6.5	80	20	N', N''-Di-Caffeoylspermidine	Phenolamide	putative	NCCCNCCCCNC(=O)C=Cc1ccc(O)c(O)c1	InChI=1S/C16H25N3O3/c17-8-3-10-18-9-1-2-11-19-16(22)7-5-13-4-6-14(20)15(21)12-13/h4-7,12,18,20-21H,1-3,8-11,17H2,(H,19,22)	MS000251315		C16H25N3O3	307.394	307.1896	527371.9	H+	470.2281	163	308.2	220.1	130.1	291.2	72.1
mr1170	337.1	163	4.8	80	60	Caffeoyl shikimic acid	Polyphenol	putative	O=C(C=Cc1ccc(O)c(O)c1)OC1C=C(C(=O)O)CC(O)C1O	InChI=1S/C16H16O8/c17-10-3-1-8(5-11(10)18)2-4-14(20)24-13-7-9(16(22)23)6-12(19)15(13)21/h1-5,7,12-13,15,17-19,21H,6H2,(H,22,23)	MS000016235		C16H16O8	336.296	336.0845	24.5	H+	337.0903	163					
mr332	302.1	206.2	5.5	20	10	[1,2,4]triazolo[1,5-a]pyrimidine-7-carboxamide, 4,5,6,7-tetrahydro-N-(2-methoxy-5-methylphenyl)-5-oxo-	Other	putative	COc1ccc(C)cc1NC(=O)C1CC(=O)N=C2N=CNN21	InChI=1S/C14H15N5O3/c1-8-3-4-11(22-2)9(5-8)17-13(21)10-6-12(20)18-14-15-7-16-19(10)14/h3-5,7,10H,6H2,1-2H3,(H,17,21)(H,15,16,18,20)			C14H15N5O3	301.306	301.1175	82.2	H+	302.1236	206.2	248.2	182.2	159.2	132.2	
mr1517	281.1	162.2	4.9	10	20	N-(9H-Purin-6-ylcarbamoyl)threonine	Nucleic acid derivative	putative	CC(O)C(N=C(O)Nc1ncnc2[nH]cnc12)C(=O)O	InChI=1S/C10H12N6O4/c1-4(17)5(9(18)19)15-10(20)16-8-6-7(12-2-11-6)13-3-14-8/h2-5,17H,1H3,(H,18,19)(H3,11,12,13,14,15,16,20)	MS000251379		C10H12N6O4	280.244	280.092	2.7	H+	281.1	162.2	221	191.2	136.1	120.1	
mr1695	346.1	184.1	4.1	10	30	4-Pyridoxic acid O-hexoside	Vitamin	putative	O=C(O)c1c(CO)cnc(OC2OC(CO)C(O)C(O)C2O)c1O	InChI=1S/C13H17NO10/c15-2-4-1-14-11(8(18)6(4)12(21)22)24-13-10(20)9(19)7(17)5(3-16)23-13/h1,5,7,9-10,13,15-20H,2-3H2,(H,21,22)			C13H17NO10	347.276	347.0852	5740.5	H+	346.1135	184.1	166.1	148	85		
